codigoAlternativoEmpleado,codigoTipoIncremento,Motivo,codigoAlternativoSolicitante,fechaVigencia,esRetroactivo,Valor,codigoRubroSalarial
3178,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3179,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3180,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3181,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3182,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3183,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3184,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3185,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3186,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3187,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3188,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3189,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3190,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3191,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3192,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3193,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3194,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3195,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3197,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3199,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3202,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3203,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3204,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3206,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3207,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3208,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3209,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3210,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3211,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3212,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3213,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3215,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3216,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3217,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3218,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3220,3,aumento anual,1725,01/07/2015,NO,1211.28,1
3221,3,aumento anual,1725,01/07/2015,NO,1211.28,1
4000,3,aumento anual,1725,01/07/2015,NO,1332.46,1
4002,3,aumento anual,1725,01/07/2015,NO,1332.46,1
4003,3,aumento anual,1725,01/07/2015,NO,1332.46,1
4005,3,aumento anual,1725,01/07/2015,NO,1332.46,1
